Word,te horen,te proeven,te ruiken,te voelen door middel van aanraking,te zien,Count,PropResponses,Dominant,Sum,ModalityExclusivity
SNEEUW,0.866666667,0.4,0.266666667,3.733333333,4.266666667,15,1,zien,9.533333333,0.41958042
STEEN,0.866666667,0,0.4,3.6,4.066666667,15,0.9375,zien,8.933333333,0.455223881
RIEM,0.875,0,0.3125,3.5,4.125,16,1,zien,8.8125,0.468085106
SLIPPERS,1.0625,0,0.125,3.4375,4.0625,16,1,zien,8.6875,0.467625899
KAT,2.866666667,0,1.866666667,3.4,4.2,15,0.9375,zien,12.33333333,0.340540541
STOEL,0.5625,0,0.0625,3.375,4,16,1,zien,8,0.5
HOND,3.142857143,0,2.857142857,3.357142857,4.5,14,0.933333333,zien,13.85714286,0.324742268
KONIJN,1.4,0.733333333,1.333333333,3.333333333,4.333333333,15,1,zien,11.13333333,0.323353293
CACTUS,0,0.533333333,0.266666667,3.333333333,4,15,1,zien,8.133333333,0.491803279
VEER,0,0,0,3.333333333,3.733333333,15,1,zien,7.066666667,0.528301887
HAGEL,2.9375,0.125,0.4375,3.3125,3.9375,16,1,zien,10.75,0.354651163
SCHORS,0.25,0.1875,1.875,3.3125,3.875,16,1,zien,9.5,0.388157895
SPIJKERSTOF,0.1875,0,0.3125,3.3125,3.875,16,1,zien,7.6875,0.504065041
BESTEK,1,0.066666667,0,3.266666667,3.8,15,1,zien,8.133333333,0.467213115
LEER,0.333333333,0.4,2.8,3.266666667,3.733333333,15,1,zien,10.53333333,0.32278481
KLEED,0.2,0,0.133333333,3.266666667,3.666666667,15,1,zien,7.266666667,0.504587156
AARDE,0.75,0.4375,2.25,3.25,3.8125,16,1,zien,10.5,0.321428571
LEGPUZZEL,0.0625,0,0.1875,3.25,4.375,16,1,zien,7.875,0.555555556
BALLOON,1.285714286,0.071428571,0.857142857,3.214285714,3.928571429,14,0.875,zien,9.357142857,0.41221374
TAPIJT,0.2,0.066666667,0.333333333,3.2,3.733333333,15,1,zien,7.533333333,0.486725664
STUUR,0.066666667,0,0.133333333,3.2,3.6,15,0.9375,zien,7,0.514285714
SHIRT,0,0,0.133333333,3.2,4.133333333,15,1,zien,7.466666667,0.553571429
EIERSCHAAL,1.0625,0.875,1.3125,3.1875,4,16,1,zien,10.4375,0.299401198
ELASTIEK,1,0.125,0.75,3.1875,3.875,16,1,zien,8.9375,0.41958042
LATEX,0.375,0.0625,1.6875,3.1875,3.8125,16,1,zien,9.125,0.410958904
MOK,0.25,0,0,3.1875,3.875,16,1,zien,7.3125,0.52991453
KIEZEL,1.666666667,0,0.266666667,3.133333333,3.666666667,15,1,zien,8.733333333,0.419847328
DEURKNOP,0.6,0,0,3.133333333,3.266666667,15,0.9375,zien,7,0.466666667
GRAS,0.333333333,0.333333333,3.133333333,3.133333333,3.8,15,1,zien,10.73333333,0.322981366
VILT,0.133333333,0,0,3.133333333,3.266666667,15,1,zien,6.533333333,0.5
TELEFOON,3.5,0,0.0625,3.125,4.3125,16,1,zien,11,0.392045455
GLAS,1.5,0,0.0625,3.125,3.8125,16,1,zien,8.5,0.448529412
KRIJTBORD,2,0,0.6,3.066666667,3.8,15,1,zien,9.466666667,0.401408451
